item_code,description,unit,rate_inr
FLOOR-VITRIFIED,Providing and laying premium vitrified floor tiles matching approved patterns over a baseline 20mm thick cement mortar bed,sqm,850.00
FLOOR-GRANITE,Providing and laying polished structural granite stone slabs over floors steps skirting including machine edge molding,sqm,1650.00
FLOOR-MARBLE,Providing and laying polished Indian white marble stone flooring including diamond grinding mirror polishing on-site,sqm,1450.00
FLOOR-KOTA,Providing and laying fine polished green Kota stone flooring over structural slabs including fine joint dressing work,sqm,620.00
WALL-TILE,Providing and fixing glazed ceramic wall tiles up to specified heights using high-bonding specialized structural adhesive polymers,sqm,580.00
ROOF-GI-CORR,Supplying and fixing corrugated galvanized iron GI roofing sheets over structural trusses using wind-resistant J-bolts,sqm,420.00
ROOF-GALVALUME,Supplying and fixing pre-painted Galvalume profile roofing sheets including overlapping seals for industrial wind loads,sqm,560.00
ROOF-POLYCARB,Supplying and fixing multi-wall polycarbonate translucent roofing sheets including aluminum profile framing fixtures,sqm,1150.00
CLAD-FASTENER,Supplying and drilling high-strength wind-resistant self-tapping structural cladding fasteners with EPDM washers,each,18.00
ST-PURLIN-Z,Supplying and fixing cold-formed light-gauge high-tensile structural Z-purlins for roof truss systems under wind loads,kg,91.00
ST-PURLIN-C,Supplying and fixing cold-formed light-gauge high-tensile structural C-purlins for side wall girts and structural frames,kg,89.50
FACADE-GLASS,Supplying and erecting structural glass glazing panels featuring toughened safety glass and spider fitting anchors,sqm,4800.00
